title,latitude,__CLASS__,redirect_url,salary_min,created,salary_max,salary_is_predicted,description,longitude,id,adref,company.__CLASS__,company.display_name,category.tag,category.label,category.__CLASS__,location.display_name,location.area,location.__CLASS__,contract_time,contract_type,country_code,country,currency,role_family,search_term,query_page,collected_at_utc,query_result_position
Senior Data Analyst,52.626638,Adzuna::API::Response::Job,https://www.adzuna.co.uk/jobs/land/ad/5862649000?se=Nlm4W-Gl8RGcfKYe_cIpvA&utm_medium=api&utm_source=aa0fc1e4&v=57301E8D5B4FA6CC742DE43436455961CBADFA95,47163.85,2026-08-31T02:12:57Z,47163.85,1,"Nottingham Trent House (95002), United Kingdom, Nottingham, Nottinghamshire Senior Data Analyst About the role Are you an experienced and passionate data professional looking to drive meaningful change? This could be the perfect role for you. Data Analysis is at the core of our UK business, delivering critical insights that shape information-driven strategies and influence key company decisions. As a Senior Lead Data Analyst, you will take a pivotal role in driving analytical excellence, spearh…",-1.130763,5862649000,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg2MjY0OTAwMCIsInMiOiJObG00Vy1HbDhSR2NmS1llX2NJcHZBIn0.us6t46p4aaqSOtWCa9lZft6P74Lj_wL8SQppLW1k7W4,Adzuna::API::Response::Company,Capital One UK,accounting-finance-jobs,Accounting & Finance Jobs,Adzuna::API::Response::Category,"Belgrave, Leicester","['UK', 'East Midlands', 'Leicestershire', 'Leicester', 'Belgrave']",Adzuna::API::Response::Location,,permanent,gb,United Kingdom,GBP,Data Analyst,data analyst,1,2026-09-01 08:44:34.761705+00:00,11
Senior Data Analyst,52.948361,Adzuna::API::Response::Job,https://www.adzuna.co.uk/jobs/land/ad/5862648963?se=Nlm4W-Gl8RGcfKYe_cIpvA&utm_medium=api&utm_source=aa0fc1e4&v=4F8DE9B68A773D3DE62DCFD43006A95543101C12,49850.6,2026-08-31T02:12:57Z,49850.6,1,"Nottingham Trent House (95002), United Kingdom, Nottingham, Nottinghamshire Senior Data Analyst About the role Are you an experienced and passionate data professional looking to drive meaningful change? This could be the perfect role for you. Data Analysis is at the core of our UK business, delivering critical insights that shape information-driven strategies and influence key company decisions. As a Senior Lead Data Analyst, you will take a pivotal role in driving analytical excellence, spearh…",-1.14277,5862648963,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg2MjY0ODk2MyIsInMiOiJObG00Vy1HbDhSR2NmS1llX2NJcHZBIn0.U0ZinguJexABvUaLEHBHBtcjWamVcgLnKe1GqrX41OA,Adzuna::API::Response::Company,Capital One UK,accounting-finance-jobs,Accounting & Finance Jobs,Adzuna::API::Response::Category,"Sneinton, Nottingham","['UK', 'East Midlands', 'Nottinghamshire', 'Nottingham', 'Sneinton']",Adzuna::API::Response::Location,,permanent,gb,United Kingdom,GBP,Data Analyst,data analyst,1,2026-09-01 08:44:34.761705+00:00,12
Senior Data Analyst,53.135441,Adzuna::API::Response::Job,https://www.adzuna.co.uk/jobs/land/ad/5862648973?se=Nlm4W-Gl8RGcfKYe_cIpvA&utm_medium=api&utm_source=aa0fc1e4&v=A12CD99E1CF0788D1A209A44306E2912D3C92A3D,50418.7,2026-08-31T02:12:57Z,50418.7,1,"Nottingham Trent House (95002), United Kingdom, Nottingham, Nottinghamshire Senior Data Analyst About the role Are you an experienced and passionate data professional looking to drive meaningful change? This could be the perfect role for you. Data Analysis is at the core of our UK business, delivering critical insights that shape information-driven strategies and influence key company decisions. As a Senior Lead Data Analyst, you will take a pivotal role in driving analytical excellence, spearh…",-1.217467,5862648973,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg2MjY0ODk3MyIsInMiOiJObG00Vy1HbDhSR2NmS1llX2NJcHZBIn0.VVJwmk4keejhbh0ztAnd3CtvC8bo_tsp18gMANyNlec,Adzuna::API::Response::Company,Capital One UK,accounting-finance-jobs,Accounting & Finance Jobs,Adzuna::API::Response::Category,"Harlow Wood, Mansfield","['UK', 'East Midlands', 'Nottinghamshire', 'Mansfield', 'Harlow Wood']",Adzuna::API::Response::Location,,permanent,gb,United Kingdom,GBP,Data Analyst,data analyst,1,2026-09-01 08:44:34.761705+00:00,13
Asset Intelligence Data Analyst,55.791931,Adzuna::API::Response::Job,https://www.adzuna.co.uk/jobs/details/5862284826?utm_medium=api&utm_source=aa0fc1e4,39599.01,2026-08-30T16:26:57Z,39599.01,1,"This is an exciting time to join Clyde Valley Group. As we continue to invest in our homes, strengthen our Asset and Compliance service and develop our long-term asset management strategy, we've created a number of new roles within the directorate, including this newly established Asset Intelligence Data Analyst position. This is a unique opportunity to help shape how data and insight drive decision-making across our business. You'll play a key role in ensuring we have the information, intellig…",-3.987113,5862284826,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg2MjI4NDgyNiIsInMiOiJObG00Vy1HbDhSR2NmS1llX2NJcHZBIn0.4qdx6UMtPKpSk_uLxzp3cxdVbnojxGV0psAJW2oHElw,Adzuna::API::Response::Company,Clyde Valley Housing Association,it-jobs,IT Jobs,Adzuna::API::Response::Category,"New Stevenston, Motherwell","['UK', 'Scotland', 'North Lanarkshire', 'Motherwell', 'New Stevenston']",Adzuna::API::Response::Location,full_time,,gb,United Kingdom,GBP,Data Analyst,data analyst,1,2026-09-01 08:44:34.761705+00:00,14
Data Analyst,55.046799,Adzuna::API::Response::Job,https://www.adzuna.co.uk/jobs/land/ad/5862277528?se=Nlm4W-Gl8RGcfKYe_cIpvA&utm_medium=api&utm_source=aa0fc1e4&v=3EF0FEF548350101C6F86DD5EDE29695E0F1C754,49304.04,2026-08-30T16:21:01Z,49304.04,1,"Job Description: Data Analyst Location: Prestwick, Ayrshire Hours: 37 hours per week (half‑day Friday) Type: Full‑time Salary: £44,348 Travel Required: Occasional Work Location: Site‑based (100%) Security Checks: BPSS, Disclosure Scotland, pre‑employment medical (including drug and alcohol testing) Join One of Ayrshire’s Largest Engineering Employers Prestwick Aerosystems continues Ayrshire’s long‑standing aircraft manufacturing tradition. From our Prestwick site, we manufacture aircraft wing s…",-1.70729,5862277528,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiTmxtNFctR2w4UkdjZktZZV9jSXB2QSIsImkiOiI1ODYyMjc3NTI4In0.CgVLosImbx7gXUhc3wepCQYCf3YboGiF79S6gM9BAg4,Adzuna::API::Response::Company,Airbus,it-jobs,IT Jobs,Adzuna::API::Response::Category,"Prestwick, Newcastle Upon Tyne","['UK', 'North East England', 'Tyne & Wear', 'Newcastle Upon Tyne', 'Prestwick']",Adzuna::API::Response::Location,full_time,permanent,gb,United Kingdom,GBP,Data Analyst,data analyst,1,2026-09-01 08:44:34.761705+00:00,15
Senior Logistician Data Analyst / CMM,,Adzuna::API::Response::Job,https://www.adzuna.co.uk/jobs/details/5862276870?utm_medium=api&utm_source=aa0fc1e4,69582.84,2026-08-30T16:20:21Z,69582.84,1,"501717 Asset Project Manager (APM) Work Location: Norfolk, VA Schedule: Full Time Relocation: Negotiable IronMountain Solutions is seeking an Asset Project Manager (APM ). The Asset Project Manager supports the planning, coordination, and execution of scheduled maintenance availabilities for U.S. Coast Guard patrol boats. Working closely with Coast Guard engineers, Port Engineers, Maintenance Integrators, and ship repair contractors, the APM develops repair packages, coordinates maintenance act…",,5862276870,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiTmxtNFctR2w4UkdjZktZZV9jSXB2QSIsImkiOiI1ODYyMjc2ODcwIn0.mU3KQ5nREpm1rOjMwXRtp-lk47TjztM096-Cf9Rv43k,Adzuna::API::Response::Company,IronMountain Solutions,engineering-jobs,Engineering Jobs,Adzuna::API::Response::Category,UK,['UK'],Adzuna::API::Response::Location,full_time,,gb,United Kingdom,GBP,Data Analyst,data analyst,1,2026-09-01 08:44:34.761705+00:00,16
Data Analyst - Insights Specialist,51.503378,Adzuna::API::Response::Job,https://www.adzuna.co.uk/jobs/details/5861792243?utm_medium=api&utm_source=aa0fc1e4,43313.02,2026-08-30T03:08:19Z,43313.02,1,"About the job Mercor connects elite creative and technical talent with leading AI research labs. Headquartered in San Francisco, our investors include Benchmark , General Catalyst , Peter Thiel , Adam D'Angelo , Larry Summers , and Jack Dorsey . Position: Analyst / Insights Experts Type: Contract Compensation: $80–$160/hour Location: Remote Role Responsibilities Review and assess domain-specific documents for quality, accuracy, and relevance. Provide structured feedback to improve document stan…",-0.139134,5861792243,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiTmxtNFctR2w4UkdjZktZZV9jSXB2QSIsImkiOiI1ODYxNzkyMjQzIn0.Twg5zbKkH8WPpZdv77UI62dLXzTL455cPrviQZJg_44,Adzuna::API::Response::Company,Mercor,it-jobs,IT Jobs,Adzuna::API::Response::Category,"London, UK","['UK', 'London']",Adzuna::API::Response::Location,,contract,gb,United Kingdom,GBP,Data Analyst,data analyst,1,2026-09-01 08:44:34.761705+00:00,17
Interim Education Data Analyst (Local SEND Reform),52.955101,Adzuna::API::Response::Job,https://www.adzuna.co.uk/jobs/details/5861761607?utm_medium=api&utm_source=aa0fc1e4,60670.46,2026-08-30T02:54:44Z,60670.46,1,"Job Description: Interim Education Data Analyst (Local SEND Reform) Job title: Interim Education Data Analyst (SEND Reform) Directorate / Service: Children and Education Services (SEND Reform Programme) Location / Working pattern: Nottingham City (hybrid working, 2-3 days at Loxley House) Job purpose To provide dedicated analytical capacity to support effective implementation, monitoring, evaluation and assurance of the Local SEND Reform Programme, including the Experts at Hand (EAH) offer and …",-1.14917,5861761607,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg2MTc2MTYwNyIsInMiOiJObG00Vy1HbDhSR2NmS1llX2NJcHZBIn0.dEMlihzy1x6tfztRN4pDLwfcmdEZF6NjiEztIKIZ0ME,Adzuna::API::Response::Company,Baltimore Consulting,it-jobs,IT Jobs,Adzuna::API::Response::Category,"Nottingham, Nottinghamshire","['UK', 'East Midlands', 'Nottinghamshire', 'Nottingham']",Adzuna::API::Response::Location,full_time,contract,gb,United Kingdom,GBP,Data Analyst,data analyst,1,2026-09-01 08:44:34.761705+00:00,18
Paralegal - Data Privacy Analyst,54.675131,Adzuna::API::Response::Job,https://www.adzuna.co.uk/jobs/land/ad/5861760475?se=Nlm4W-Gl8RGcfKYe_cIpvA&utm_medium=api&utm_source=aa0fc1e4&v=87D98EED7F9DB0DBF64EA7C1624361FFD4B108CF,51814.68,2026-08-30T02:53:05Z,51814.68,1,"A&O Shearman are hiring for a Paralegal - Data Privacy Analyst to join the Data Privacy team in Belfast. Data Privacy Team A&O Shearman’s Risk function, led by partner, Simon Fuge, is comprised of teams of market leading experts and is at the heart of the sustainability and success of our firm. It has a core responsibility to uphold the values of A&O Shearman and support the strategic objectives of the business. Our lawyers and industry experts provide high quality legal and risk advice to the …",-6.225599,5861760475,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg2MTc2MDQ3NSIsInMiOiJObG00Vy1HbDhSR2NmS1llX2NJcHZBIn0.SYG03wnOo1CCbo3jM3SdFYRDJoazpf4iAryb7QCuVzQ,Adzuna::API::Response::Company,A&O Shearman,legal-jobs,Legal Jobs,Adzuna::API::Response::Category,"County Antrim, Northern Ireland","['UK', 'Northern Ireland', 'County Antrim']",Adzuna::API::Response::Location,full_time,,gb,United Kingdom,GBP,Data Analyst,data analyst,1,2026-09-01 08:44:34.761705+00:00,19
Data Analyst Intern,51.5093,Adzuna::API::Response::Job,https://www.adzuna.co.uk/jobs/details/5861733142?utm_medium=api&utm_source=aa0fc1e4,23930.12,2026-08-30T02:07:36Z,23930.12,1,What you'll do: - Prepare large data set using the latest low code Data Science Applications - Work with Subject Matter Experts to understand their needs - Create reports using data visualization tools for Eaton's Global Marketing Functions - Support colleagues in the Analytics team with our quality control and bug fixes - Train and support end users on the reports you create - Provide appropriate documentation to support our reports Qualifications: - Undergraduates working towards a minimum of…,-0.595448,5861733142,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg2MTczMzE0MiIsInMiOiJObG00Vy1HbDhSR2NmS1llX2NJcHZBIn0.1lsIeICKGg3Il63w5ZXGKW1vdRhhjx4YWxpD8ncR4Ww,Adzuna::API::Response::Company,Eaton Corporation,it-jobs,IT Jobs,Adzuna::API::Response::Category,"Slough, Berkshire","['UK', 'South East England', 'Berkshire', 'Slough']",Adzuna::API::Response::Location,,contract,gb,United Kingdom,GBP,Data Analyst,data analyst,1,2026-09-01 08:44:34.761705+00:00,20
Paralegal - Data Privacy Analyst,54.655499,Adzuna::API::Response::Job,https://www.adzuna.co.uk/jobs/land/ad/5861627712?se=Nlm4W-Gl8RGcfKYe_cIpvA&utm_medium=api&utm_source=aa0fc1e4&v=47FB46C9E578828B4BA6F83DE816E3A3B95B7B1B,52904.14,2026-08-30T00:45:12Z,52904.14,1,"A&O Shearman are hiring for a Paralegal - Data Privacy Analyst to join the Data Privacy team in Belfast. Data Privacy Team A&O Shearman’s Risk function, led by partner, Simon Fuge, is comprised of teams of market leading experts and is at the heart of the sustainability and success of our firm. It has a core responsibility to uphold the values of A&O Shearman and support the strategic objectives of the business. Our lawyers and industry experts provide high quality legal and risk advice to the …",-5.67482,5861627712,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg2MTYyNzcxMiIsInMiOiJObG00Vy1HbDhSR2NmS1llX2NJcHZBIn0.p_Npj7V9_LgThNhhf47m1TU3FPGeg1yxOloW5uHGEsk,Adzuna::API::Response::Company,A&O Shearman,legal-jobs,Legal Jobs,Adzuna::API::Response::Category,"Bangor, North Down","['UK', 'Northern Ireland', 'North Down', 'Bangor']",Adzuna::API::Response::Location,full_time,,gb,United Kingdom,GBP,Data Analyst,data analyst,1,2026-09-01 08:44:34.761705+00:00,21
Paralegal - Data Privacy Analyst,,Adzuna::API::Response::Job,https://www.adzuna.co.uk/jobs/land/ad/5861627713?se=Nlm4W-Gl8RGcfKYe_cIpvA&utm_medium=api&utm_source=aa0fc1e4&v=1946CDEBB80B494A50136A45212DC8760A6980FD,50405.81,2026-08-30T00:45:12Z,50405.81,1,"A&O Shearman are hiring for a Paralegal - Data Privacy Analyst to join the Data Privacy team in Belfast. Data Privacy Team A&O Shearman’s Risk function, led by partner, Simon Fuge, is comprised of teams of market leading experts and is at the heart of the sustainability and success of our firm. It has a core responsibility to uphold the values of A&O Shearman and support the strategic objectives of the business. Our lawyers and industry experts provide high quality legal and risk advice to the …",,5861627713,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg2MTYyNzcxMyIsInMiOiJObG00Vy1HbDhSR2NmS1llX2NJcHZBIn0.QFvFflU8npCSmUPaqZcDpZXWJzRsr6vWGzYlyloJn1o,Adzuna::API::Response::Company,A&O Shearman,legal-jobs,Legal Jobs,Adzuna::API::Response::Category,"Belfast, Northern Ireland","['UK', 'Northern Ireland', 'Belfast']",Adzuna::API::Response::Location,full_time,,gb,United Kingdom,GBP,Data Analyst,data analyst,1,2026-09-01 08:44:34.761705+00:00,22
